Number of trabsactions: 24494
1962-01-02 buy-open GE 1
1962-01-02 sell-high GE 1
1962-01-03 buy-low GE 1
1962-01-03 sell-close GE 1
1962-01-04 buy-low GE 1
1962-01-04 sell-close GE 1
1962-01-05 buy-low GE 1
1962-01-05 sell-close GE 1
1962-01-08 buy-low GE 1
1962-01-08 sell-close GE 1
1962-01-10 buy-open GE 1
1962-01-10 sell-high GE 1
1962-01-11 buy-low GE 1
1962-01-11 sell-close GE 1
1962-01-12 buy-open GE 1
1962-01-12 sell-high GE 1
1962-01-16 buy-open GE 1
1962-01-16 sell-high GE 1
1962-01-18 buy-open GE 1
1962-01-18 sell-high GE 1
1962-01-19 buy-open GE 1
1962-01-19 sell-high GE 1
1962-01-22 buy-open GE 1
1962-01-22 sell-high GE 1
1962-01-24 buy-open GE 1
1962-01-24 sell-high GE 1
1962-01-30 buy-open GE 1
1962-01-30 sell-high GE 1
1962-01-31 buy-open GE 1
1962-01-31 sell-high GE 1
1962-02-06 buy-open GE 1
1962-02-06 sell-high GE 1
1962-02-07 buy-open GE 1
1962-02-07 sell-high GE 1
1962-02-08 buy-low GE 1
1962-02-08 sell-close GE 1
1962-02-12 buy-low GE 1
1962-02-12 sell-close GE 1
1962-02-13 buy-open GE 1
1962-02-13 sell-high GE 1
1962-02-14 buy-open GE 1
1962-02-14 sell-high GE 1
1962-02-15 buy-open GE 1
1962-02-15 sell-high GE 1
1962-02-16 buy-low GE 1
1962-02-16 sell-close GE 1
1962-02-20 buy-low GE 1
1962-02-20 sell-close GE 1
1962-02-21 buy-low GE 1
1962-02-21 sell-close GE 1
1962-02-26 buy-low GE 1
1962-02-26 sell-close GE 1
1962-02-27 buy-open GE 1
1962-02-27 sell-high GE 1
1962-03-01 buy-open GE 1
1962-03-01 sell-high GE 1
1962-03-02 buy-open GE 1
1962-03-02 sell-high GE 1
1962-03-05 buy-open GE 1
1962-03-05 sell-high GE 1
1962-03-07 buy-open GE 1
1962-03-07 sell-high GE 1
1962-03-08 buy-low GE 1
1962-03-08 sell-close GE 1
1962-03-09 buy-open GE 1
1962-03-09 sell-high GE 1
1962-03-13 buy-low GE 1
1962-03-13 sell-close GE 1
1962-03-15 buy-open GE 1
1962-03-15 sell-high GE 1
1962-03-23 buy-open GE 1
1962-03-23 sell-high GE 1
1962-03-27 buy-open GE 1
1962-03-27 sell-high GE 1
1962-03-28 buy-open GE 1
1962-03-28 sell-high GE 1
1962-03-30 buy-low GE 1
1962-03-30 sell-close GE 1
1962-04-04 buy-open GE 1
1962-04-04 sell-high GE 1
1962-04-06 buy-low GE 1
1962-04-06 sell-close GE 1
1962-04-11 buy-low GE 1
1962-04-11 sell-close GE 1
1962-04-13 buy-open GE 1
1962-04-13 sell-high GE 1
1962-04-16 buy-low GE 1
1962-04-16 sell-close GE 1
1962-04-18 buy-low GE 1
1962-04-18 sell-close GE 1
1962-04-19 buy-low GE 1
1962-04-19 sell-close GE 1
1962-04-26 buy-open GE 1
1962-04-26 sell-high GE 1
1962-04-27 buy-open GE 1
1962-04-27 sell-high GE 1
1962-04-30 buy-low GE 1
1962-04-30 sell-close GE 1
1962-05-17 buy-open GE 1
1962-05-17 sell-high GE 1
1962-05-29 buy-low GE 1
1962-05-29 sell-close GE 1
1962-06-01 buy-low GE 1
1962-06-01 sell-close GE 1
1962-06-11 buy-open GE 1
1962-06-11 sell-high GE 1
1962-06-12 buy-low GE 1
1962-06-12 sell-close GE 1
1962-06-14 buy-open GE 1
1962-06-14 sell-high GE 1
1962-06-29 buy-open GE 1
1962-06-29 sell-high GE 1
1962-07-02 buy-low GE 1
1962-07-02 sell-close GE 1
1962-07-03 buy-low GE 1
1962-07-03 sell-close GE 1
1962-07-05 buy-open GE 1
1962-07-05 sell-high GE 1
1962-07-06 buy-low GE 1
1962-07-06 sell-close GE 1
1962-07-09 buy-low GE 1
1962-07-09 sell-close GE 1
1962-07-10 buy-open GE 1
1962-07-10 sell-high GE 1
1962-07-13 buy-low GE 1
1962-07-13 sell-close GE 1
1962-07-18 buy-low GE 1
1962-07-18 sell-close GE 1
1962-07-20 buy-open GE 1
1962-07-20 sell-high GE 1
1962-07-23 buy-open GE 1
1962-07-23 sell-high GE 1
1962-07-25 buy-low GE 1
1962-07-25 sell-close GE 1
1962-07-26 buy-open GE 1
1962-07-26 sell-high GE 1
1962-07-31 buy-open GE 1
1962-07-31 sell-high GE 1
1962-08-09 buy-open GE 1
1962-08-09 sell-high GE 1
1962-08-10 buy-open GE 1
1962-08-10 sell-high GE 1
1962-08-14 buy-open GE 1
1962-08-14 sell-high GE 1
1962-08-17 buy-open GE 1
1962-08-17 sell-high GE 1
1962-08-20 buy-open GE 1
1962-08-20 sell-high GE 1
1962-08-21 buy-open GE 1
1962-08-21 sell-high GE 1
1962-08-27 buy-open GE 1
1962-08-27 sell-high GE 1
1962-08-29 buy-low GE 1
1962-08-29 sell-close GE 1
1962-08-30 buy-open GE 1
1962-08-30 sell-high GE 1
1962-09-05 buy-low GE 1
1962-09-05 sell-close GE 1
1962-09-07 buy-open GE 1
1962-09-07 sell-high GE 1
1962-09-10 buy-low GE 1
1962-09-10 sell-close GE 1
1962-09-12 buy-open GE 1
1962-09-12 sell-high GE 1
